test_case,alloy,ethers-v5,viem-v3,viem-v2,ensjs-v4,ensjs-v3,ethers-v6,web3py
universal-resolver,pass,fail,pass,pass,pass,fail,pass,pass
forward-base-onchain,,fail,pass,pass,pass,pass,pass,pass
forward-wildcard,pass,pass,pass,pass,pass,pass,pass,pass
forward-eth-offchain,fail,pass,pass,pass,pass,pass,pass,pass
forward-text-onchain,pass,pass,pass,pass,pass,pass,pass,pass
forward-text-offchain,fail,pass,pass,pass,pass,pass,pass,pass
forward-contenthash,,pass,,,pass,pass,pass,
reverse-universal-resolver,fail,fail,pass,pass,pass,fail,pass,pass
reverse-eth,pass,pass,pass,pass,pass,pass,pass,pass
reverse-l2,,,fail,fail,fail,,,
forward-dns-offchain,fail,pass,pass,fail,pass,pass,pass,fail
